Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude,Polygon Coordinates
SGW,GNH,"GN Building - wings H, I, J, K",Grey Nuns Building,1190 Guy Street,45.493622,-73.577003,"[ [-73.5764556,45.4939017], [-73.5764991,45.4939225], [-73.5765813,45.4939619], [-73.5765898,45.4939532], [-73.5769125,45.4941078], [-73.5769022,45.4941184], [-73.577056,45.4941921], [-73.5772311,45.4940124], [-73.577242,45.4940177], [-73.5773804,45.4938758], [-73.577477,45.4939222], [-73.5774988,45.4939326], [-73.5775304,45.4939478], [-73.577606,45.4939826], [-73.5775955,45.4939936], [-73.5775767,45.4940131], [-73.5775583,45.4940322], [-73.5775399,45.4940513], [-73.5775205,45.4940714], [-73.5775024,45.4940902], [-73.5774835,45.4941098], [-73.5774611,45.4941331], [-73.577446,45.4941257], [-73.5773912,45.494099], [-73.5773792,45.4941112], [-73.5774266,45.494134], [-73.5774016,45.4941595], [-73.5773574,45.4941383], [-73.5771021,45.4943996], [-73.5764214,45.4940727], [-73.5763978,45.4940969], [-73.5763777,45.4941175], [-73.5763673,45.4941281], [-73.5763591,45.4941242], [-73.5762724,45.4940825], [-73.5762194,45.4941367], [-73.5761696,45.4941127], [-73.5761554,45.4941275], [-73.5762328,45.4941608], [-73.5762179,45.494176], [-73.5762016,45.4941925], [-73.5761261,45.4941568], [-73.5761153,45.4941682], [-73.5760391,45.4941328], [-73.576093,45.4940759], [-73.5760465,45.4940535], [-73.576157,45.4939405], [-73.5757325,45.4937364], [-73.575744,45.4937246], [-73.5757048,45.4937057], [-73.5757992,45.4936096], [-73.5758343,45.4936265], [-73.5758461,45.4936144], [-73.5762743,45.4938213], [-73.5765865,45.4935037], [-73.5765534,45.4934877], [-73.5766243,45.4934157], [-73.5767071,45.4933316], [-73.5767293,45.4933423], [-73.5770308,45.4930362], [-73.5768318,45.4929399], [-73.5768162,45.4929557], [-73.5767858,45.4929605], [-73.5767381,45.4929386], [-73.5767295,45.4929145], [-73.5767387,45.4929053], [-73.576402,45.4927406], [-73.5765438,45.4925981], [-73.5768563,45.492751], [-73.5768761,45.4927607], [-73.5768805,45.4927385], [-73.576931,45.492686], [-73.5769506,45.4926842], [-73.5770326,45.4927224], [-73.5769726,45.4927857], [-73.5769624,45.4927868], [-73.5769659,45.4928028], [-73.5769559,45.492813], [-73.5771509,45.4929068], [-73.5772108,45.4928455], [-73.5772719,45.4928748], [-73.5773129,45.492833], [-73.5773459,45.4928488], [-73.5773781,45.4928643], [-73.5773379,45.4929054], [-73.5774008,45.4929356], [-73.57734,45.4929978], [-73.577553,45.4931003], [-73.5774928,45.4931618], [-73.5774626,45.4931926], [-73.5774275,45.4932285], [-73.5772063,45.4931221], [-73.5771389,45.493191], [-73.5771573,45.4931999], [-73.577032,45.4933279], [-73.5769916,45.4933692], [-73.5769713,45.4933595], [-73.5769006,45.4934317], [-73.5770323,45.4934951], [-73.5770524,45.4934746], [-73.5770733,45.4934846], [-73.5770863,45.4934713], [-73.5771046,45.4934643], [-73.5771263,45.4934637], [-73.5771473,45.4934703], [-73.5771614,45.4934826], [-73.5771673,45.4934969], [-73.5771644,45.4935116], [-73.5771522,45.4935242], [-73.5773088,45.4935989], [-73.5772555,45.4936538], [-73.5772558,45.4936586], [-73.5772704,45.4936582], [-73.5772716,45.4936779], [-73.5772682,45.4936892], [-73.5772625,45.4937005], [-73.5772527,45.4937127], [-73.5772392,45.4937248], [-73.5772241,45.4937357], [-73.5772067,45.493745], [-73.5771821,45.4937508], [-73.5771772,45.4937406], [-73.5771671,45.493743], [-73.577116,45.4937979], [-73.5769559,45.4937246], [-73.5769474,45.4937337], [-73.5769313,45.4937399], [-73.5769137,45.4937418], [-73.5768937,45.4937405], [-73.5768762,45.4937356], [-73.5768623,45.4937264], [-73.5768563,45.4937144], [-73.5768564,45.4937014], [-73.5768581,45.4936928], [-73.5768662,45.4936845], [-73.576848,45.4936758], [-73.5769043,45.4936181], [-73.5767878,45.4935623], [-73.5766433,45.4937106], [-73.576656,45.4937167], [-73.5766436,45.4937294], [-73.5766316,45.4937417], [-73.5765286,45.4938474], [-73.5765149,45.4938408], [-73.5764862,45.4938703], [-73.5764556,45.4939017]]"
SGW,GNL,"GN Building - wings L, M, N",Grey Nuns Building,1190 Guy Street,45.493622,-73.577003,"[ [-73.5764556,45.4939017], [-73.5764991,45.4939225], [-73.5765813,45.4939619], [-73.5765898,45.4939532], [-73.5769125,45.4941078], [-73.5769022,45.4941184], [-73.577056,45.4941921], [-73.5772311,45.4940124], [-73.577242,45.4940177], [-73.5773804,45.4938758], [-73.577477,45.4939222], [-73.5774988,45.4939326], [-73.5775304,45.4939478], [-73.577606,45.4939826], [-73.5775955,45.4939936], [-73.5775767,45.4940131], [-73.5775583,45.4940322], [-73.5775399,45.4940513], [-73.5775205,45.4940714], [-73.5775024,45.4940902], [-73.5774835,45.4941098], [-73.5774611,45.4941331], [-73.577446,45.4941257], [-73.5773912,45.494099], [-73.5773792,45.4941112], [-73.5774266,45.494134], [-73.5774016,45.4941595], [-73.5773574,45.4941383], [-73.5771021,45.4943996], [-73.5764214,45.4940727], [-73.5763978,45.4940969], [-73.5763777,45.4941175], [-73.5763673,45.4941281], [-73.5763591,45.4941242], [-73.5762724,45.4940825], [-73.5762194,45.4941367], [-73.5761696,45.4941127], [-73.5761554,45.4941275], [-73.5762328,45.4941608], [-73.5762179,45.494176], [-73.5762016,45.4941925], [-73.5761261,45.4941568], [-73.5761153,45.4941682], [-73.5760391,45.4941328], [-73.576093,45.4940759], [-73.5760465,45.4940535], [-73.576157,45.4939405], [-73.5757325,45.4937364], [-73.575744,45.4937246], [-73.5757048,45.4937057], [-73.5757992,45.4936096], [-73.5758343,45.4936265], [-73.5758461,45.4936144], [-73.5762743,45.4938213], [-73.5765865,45.4935037], [-73.5765534,45.4934877], [-73.5766243,45.4934157], [-73.5767071,45.4933316], [-73.5767293,45.4933423], [-73.5770308,45.4930362], [-73.5768318,45.4929399], [-73.5768162,45.4929557], [-73.5767858,45.4929605], [-73.5767381,45.4929386], [-73.5767295,45.4929145], [-73.5767387,45.4929053], [-73.576402,45.4927406], [-73.5765438,45.4925981], [-73.5768563,45.492751], [-73.5768761,45.4927607], [-73.5768805,45.4927385], [-73.576931,45.492686], [-73.5769506,45.4926842], [-73.5770326,45.4927224], [-73.5769726,45.4927857], [-73.5769624,45.4927868], [-73.5769659,45.4928028], [-73.5769559,45.492813], [-73.5771509,45.4929068], [-73.5772108,45.4928455], [-73.5772719,45.4928748], [-73.5773129,45.492833], [-73.5773459,45.4928488], [-73.5773781,45.4928643], [-73.5773379,45.4929054], [-73.5774008,45.4929356], [-73.57734,45.4929978], [-73.577553,45.4931003], [-73.5774928,45.4931618], [-73.5774626,45.4931926], [-73.5774275,45.4932285], [-73.5772063,45.4931221], [-73.5771389,45.493191], [-73.5771573,45.4931999], [-73.577032,45.4933279], [-73.5769916,45.4933692], [-73.5769713,45.4933595], [-73.5769006,45.4934317], [-73.5770323,45.4934951], [-73.5770524,45.4934746], [-73.5770733,45.4934846], [-73.5770863,45.4934713], [-73.5771046,45.4934643], [-73.5771263,45.4934637], [-73.5771473,45.4934703], [-73.5771614,45.4934826], [-73.5771673,45.4934969], [-73.5771644,45.4935116], [-73.5771522,45.4935242], [-73.5773088,45.4935989], [-73.5772555,45.4936538], [-73.5772558,45.4936586], [-73.5772704,45.4936582], [-73.5772716,45.4936779], [-73.5772682,45.4936892], [-73.5772625,45.4937005], [-73.5772527,45.4937127], [-73.5772392,45.4937248], [-73.5772241,45.4937357], [-73.5772067,45.493745], [-73.5771821,45.4937508], [-73.5771772,45.4937406], [-73.5771671,45.493743], [-73.577116,45.4937979], [-73.5769559,45.4937246], [-73.5769474,45.4937337], [-73.5769313,45.4937399], [-73.5769137,45.4937418], [-73.5768937,45.4937405], [-73.5768762,45.4937356], [-73.5768623,45.4937264], [-73.5768563,45.4937144], [-73.5768564,45.4937014], [-73.5768581,45.4936928], [-73.5768662,45.4936845], [-73.576848,45.4936758], [-73.5769043,45.4936181], [-73.5767878,45.4935623], [-73.5766433,45.4937106], [-73.576656,45.4937167], [-73.5766436,45.4937294], [-73.5766316,45.4937417], [-73.5765286,45.4938474], [-73.5765149,45.4938408], [-73.5764862,45.4938703], [-73.5764556,45.4939017]]"
SGW,GS,GS Building,Guy-Sherbrooke Building,"1538, Sherbrooke W",45.496673,-73.581409,"[[-73.5808226, 45.4965242 ], [ -73.5810666, 45.4966013 ], [ -73.5810125, 45.496663 ], [ -73.5811182, 45.4967036 ], [ -73.5812968, 45.4967724 ], [ -73.5814479, 45.4966181 ], [ -73.5814272, 45.4965701 ], [ -73.5809336, 45.496408 ], [ -73.5808226, 45.4965242 ]]"
SGW,H,H Building,Henry F. Hall Building,1455 DeMaisonneuve W,45.497092,-73.5788,"[[-73.5788241, 45.4968261 ], [ -73.5786245, 45.4970373 ], [ -73.5784089, 45.4972544 ], [ -73.5782927, 45.4973714 ], [ -73.578399, 45.4974227 ], [ -73.5785783, 45.4975092 ], [ -73.5790075, 45.4977164 ], [ -73.5790121, 45.497713 ], [ -73.579269, 45.4974475 ], [ -73.5795378, 45.4971739 ], [ -73.5795431, 45.4971671 ], [ -73.5794591, 45.497128 ], [ -73.5788241, 45.4968261 ]]"
LOY,HA,HA Building,"Hingston Hall, wing HA",7141 Sherbrooke West,45.459356,-73.64127,"[[-73.64114246694434, 45.45925878611328], [-73.64149584798206, 45.4593942427911], [-73.64148377804149, 45.45940905834549], [-73.64154077498306, 45.45943069375127], [-73.64135146477156, 45.45967478942566], [-73.64128943868809, 45.45965150794816], [-73.64128005095654, 45.45966232560556], [-73.64093064507611, 45.45952850870548], [-73.64094103863604, 45.45951439868366], [-73.64088169476159, 45.45949041163848], [-73.64106927824055, 45.4592511634036], [-73.64113063377177, 45.45927538571867]]"
LOY,HB,HB Building,"Hingston Hall, wing HB",7141 Sherbrooke West,45.459308,-73.641849,"[[-73.64180873293778, 45.45896902854732], [-73.64187712926766, 45.45899607301431], [-73.64190462191006, 45.45896244380558], [-73.6422704091244, 45.459103927688275], [-73.64224392231037, 45.459139202993], [-73.64230058397581, 45.45916248468205], [-73.64214366992978, 45.45936027722329], [-73.64208834936885, 45.45933840662269], [-73.64206923862962, 45.45936168822948], [-73.64205616286067, 45.459356749707645], [-73.64194238563765, 45.459501385613365], [-73.64200206478823, 45.459525372653886], [-73.64197893073548, 45.459555474023674], [-73.64149514807193, 45.45936614352995]]"
LOY,HC,HC Building,"Hingston Hall, wing HC",7141 Sherbrooke West,45.459663,-73.64208,"[[-73.64202462121388, 45.459523959498206], [-73.64188246413609, 45.45970080481985], [-73.64191465064427, 45.459717736789635], [-73.6418301610603, 45.45982591314328], [-73.64200584575077, 45.45989646282729], [-73.6421010641708, 45.45978640528163], [-73.64213325067898, 45.459796752581404], [-73.64227406665226, 45.459619907560686]]"
LOY,HU,HU Building,Applied Science Hub,"7141, Sherbrooke W",45.458513,-73.641921,"[[-73.64129784085388, 45.45867598246963], [-73.64277669887241, 45.459247136610294], [-73.64316405369357, 45.45878824385115], [-73.6416734954904, 45.45820087960469]]"
LOY,JR,JR Building,Jesuit Residence,7141 Sherbrooke West,45.458432,-73.643235,"[[-73.64324139552258, 45.45840881417316], [-73.64334030198, 45.45844855817151], [-73.64332722621106, 45.45846360914586], [-73.64340016258241, 45.458493603186106], [-73.64334718895437, 45.45855874560338], [-73.64336361748458, 45.45856462487922], [-73.64330829692365, 45.4586335299463], [-73.64323587728025, 45.45860460393863], [-73.64321978402616, 45.458622712091504], [-73.64311962088716, 45.45858138123557], [-73.64313034972322, 45.45856821166078], [-73.64305491259468, 45.45853834493509], [-73.64309916904342, 45.45848378520636], [-73.6431125800885, 45.45848872380468], [-73.6431212972678, 45.4584779059221], [-73.64309548100603, 45.45846732320888], [-73.64315314849985, 45.45839653656496], [-73.64322724452389, 45.458425697850956]]"
SGW,K,K Building,K Annex,2150 Bishop Street,45.497777,-73.579531,"[[-73.5793152, 45.4978508], [-73.5793612, 45.4978723], [-73.5793896, 45.497887], [-73.5795607, 45.4977144], [-73.579643, 45.4976342], [-73.5795611, 45.4975958], [-73.5794786, 45.4976804], [-73.5795321, 45.497706], [-73.5794813, 45.4977493], [-73.5794647, 45.4977435], [-73.5794334, 45.49777], [-73.579405, 45.4977565], [-73.5793152, 45.4978508]]"
SGW,LB,LB Building,J.W. McConnell Building,1400 DeMaisonneuve W,45.49705,-73.578009,"[[-73.57855756358562, 45.496659730904184 ], [ -73.57768958851064, 45.49624568665047 ], [ -73.57745582000977, 45.496487294321724 ], [ -73.57768984794379, 45.49660222448378 ], [ -73.5776464353805, 45.4966524683139 ], [ -73.57755290976016, 45.496613704237944 ], [ -73.57728367658757, 45.49688931810371 ], [ -73.57804571799825, 45.497259873287334 ], [ -73.57831457929902, 45.49698633566368 ], [ -73.57828003865572, 45.496963034395236 ], [ -73.57832352814155, 45.496905695737865 ], [ -73.57837284058614, 45.4969254474193 ], [ -73.57857361344176, 45.4967159461049 ], [ -73.57852632038805, 45.49669268932783 ], [ -73.57855756358562, 45.496659730904184 ]]"
SGW,LC,LC Building,LC Building,1426 Bishop Street,45.496782,-73.577358,"DOES NOT EXIST"
SGW,LD,LD Building,LD Building,1424 Bishop Street,45.496697,-73.577312,"DOES NOT EXIST"
SGW,M,M Building,M Annex,2135 Mackay Street,45.497368,-73.579777,"[[-73.5797377, 45.4974204 ], [ -73.5798361, 45.4973206 ], [ -73.5798209, 45.4973116 ], [ -73.5798082, 45.4973058 ], [ -73.579803, 45.4972922 ], [ -73.579781, 45.4972817 ], [ -73.5797586, 45.4972844 ], [ -73.5796579, 45.4973882 ], [ -73.5797325, 45.4974254 ], [ -73.5797377, 45.4974204 ]]"
SGW,MB,MB Building,John Molson Building,1450 Guy Street,45.495304,-73.579044,"[[-73.57850994731601, 45.49516855515441 ], [ -73.5789298556846, 45.49541848340198 ], [ -73.57923995472478, 45.49552366581199 ], [ -73.57947318528821, 45.49533450461007 ], [ -73.57922320554508, 45.49518643654602 ], [ -73.57881224979289, 45.49500287949081 ], [ -73.57877180352868, 45.49503371373433 ], [ -73.57872340822017, 45.495009808119676 ], [ -73.57850994731601, 45.49516855515441 ]]"
SGW,MI,MI Building,MI Annex,2130 Bishop Street,45.497807,-73.579261,
SGW,MK,MK Building,MK Annex,2000-20002 Mackay St,45.496606,-73.579025,
SGW,MM,MM Building,MM Annex,1209 Guy Street,45.494665,-73.576365,
SGW,MN,MN Building,MN Annex,1205-1207 Guy Street,45.494568,-73.576315,
SGW,MT,MT Building,Montefiore Building,1195 Guy Street,45.494442,-73.576108,
SGW,MU,MU Building,MU Annex,2170 Bishop Street,45.497963,-73.579506,
SGW,P,P Building,P Annex,2020 Mackay Street,45.496745,-73.579113,
LOY,PB,PB Building,PB Building,7200 Sherbrooke W,45.456534,-73.638106,"[[-73.6381739, 45.4566204],[-73.638251, 45.4565164],[-73.6380358, 45.4564355],[-73.6379587, 45.4565409],[-73.6381739, 45.4566204]]"
LOY,PC,PC Building,PERFORM centre,7200 Sherbrooke W,45.457088,-73.637683,"[[-73.63698552999276, 45.45668234663006], [-73.637839813564, 45.45702100318805], [-73.63762780116437, 45.457286530811096], [-73.63677754090665, 45.45694975726986]]"
SGW,PR,PR Building,PR Annex,2100 Mackay Street,45.497066,-73.57979,
LOY,PS,PS Building,Physical Services Building,7141 Sherbrooke W,45.459636,-73.639758,"[[-73.63945527416735, 45.459286134448504], [-73.63922716977262, 45.45957970516812], [-73.63934317531252, 45.45962720883916], [-73.63931581811165, 45.45966788337612], [-73.64013478615315, 45.45998667713779], [-73.64022832819255, 45.45986392082716], [-73.64020284720691, 45.45985286804278], [-73.64031341350746, 45.45970601643625], [-73.64013914619532, 45.45963837834531], [-73.64015853764441, 45.45960823874637], [-73.63965570433571, 45.45941306539998], [-73.63963089390232, 45.45944363716442], [-73.63952956323371, 45.45940443495661], [-73.63957985465274, 45.4593331791535]]"
LOY,PT,PT Building,Oscar Peterson Concert Hall,7141 Sherbrooke W,45.459308,-73.638941,"[[-73.63913388373734, 45.459484109440204], [-73.639230778538, 45.45936041136461], [-73.63920797976138, 45.4593505108068], [-73.6392207202542, 45.45933498973359], [-73.63917769454538, 45.45931608578421], [-73.63879926133203, 45.459174439992786], [-73.63869328726027, 45.4593134220142]]"
LOY,PY,PY Building,Psychology Building,7141 Sherbrooke W,45.458938,-73.640467,"[[-73.64083336928228, 45.45884699152768], [-73.64057855942586, 45.45918093171645], [-73.64062421143421, 45.459198931638056], [-73.64062287032971, 45.45920951421393], [-73.64060022602146, 45.459240936889756], [-73.64057846579686, 45.4592685719661], [-73.64056471947566, 45.45928479856165], [-73.64055868450538, 45.45928973708979], [-73.64043326276477, 45.45924223313443], [-73.64042789834674, 45.459247406834464], [-73.6403712366813, 45.45922530102183], [-73.64037157195743, 45.459218951478306], [-73.64013352590736, 45.45912653026379], [-73.64013319063123, 45.459119710371716], [-73.64015196609434, 45.4590961934962], [-73.64014559584793, 45.45909243079524], [-73.64017476487096, 45.459055038940505], [-73.6401814703935, 45.459056920292284], [-73.64020695137914, 45.45902493730357], [-73.64022170352872, 45.45902964068539], [-73.64024296107387, 45.459001792287836], [-73.64022016229724, 45.45899168001142], [-73.64021982702111, 45.45898486010305], [-73.640396832665, 45.458756852066955], [-73.640417955061, 45.45876390717309], [-73.64044611825565, 45.45873027782589], [-73.64062475766991, 45.45879800684033], [-73.64062676932667, 45.45879636064996], [-73.64069428769645, 45.458821994180084], [-73.64071105150279, 45.45880059371079], [-73.64075597850379, 45.45881776112088], [-73.64080291716155, 45.45883657471496]]"
SGW,Q,Q Building,Q Annex,2010 Mackay Street,45.496648,-73.579094,
SGW,R,R Building,R Annex,2050 Mackay Street,45.496826,-73.579389,
LOY,RA,RA Building,Recreation and Athletics Complex,7200 Sherbrooke W,45.456774,-73.63761,"[[-73.63710111804322, 45.45672955099704], [-73.6378709120305, 45.457032460316356], [-73.6379258973153, 45.45696661060274], [-73.63805598445252, 45.45701082399037], [-73.63818875379876, 45.45684714021175], [-73.63806671328858, 45.456793519560236], [-73.6381431562455, 45.456692863111876], [-73.6373666567357, 45.45638995196833]]"
LOY,RF,RF Building,Loyola Jesuit Hall and Conference Centre,7141 Sherbrooke W,45.458489,-73.641028,"[[-73.64077321086462, 45.45851577362767], [-73.64085300658282, 45.45841441473864], [-73.64100656304892, 45.45847273727709], [-73.64107831214007, 45.45838219621374], [-73.64119943031822, 45.45842828986416], [-73.64114075699602, 45.45851154054546], [-73.64122926989351, 45.4585461107075], [-73.64124603369986, 45.45852541564707], [-73.6412765438274, 45.45853646869166], [-73.6413164416865, 45.45848473101745], [-73.64137444445645, 45.458508248147965], [-73.64127095796422, 45.45864148218068], [-73.64128336318092, 45.458646420765184], [-73.64115888621542, 45.45880838047977], [-73.6411448046181, 45.45880414741952], [-73.64112804081175, 45.45882296101818], [-73.6410338282201, 45.4587867448352], [-73.6410475745413, 45.458765814692896], [-73.64096703127777, 45.45873497138751], [-73.64096133158361, 45.45873967479353], [-73.64093074512922, 45.458728170087646], [-73.64090157610619, 45.458719939125146], [-73.64087408346379, 45.458706769582726], [-73.6408543021723, 45.45869994963988], [-73.64085128468716, 45.458703006855735], [-73.64080501658165, 45.45868348770552], [-73.6408767656728, 45.458591300784214], [-73.64075525128395, 45.45853875633943], [-73.64079380803854, 45.45849125175137], [-73.64081358933002, 45.45846350152795], [-73.64083001786024, 45.4584430416087]]"
SGW,RR,RR Building,RR Annex,2040 Mackay Street,45.496796,-73.579259,
SGW,S,S Building,S Annex,2145 Mackay Street,45.497423,-73.579851,
SGW,SB,SB Building,Samuel Bronfman Building,1590 Doctor Penfield,45.4966,-73.58609,
LOY,SC,SC Building,Student Centre,7141 Sherbrooke W,45.459131,-73.639251,"[[-73.63892663944456, 45.4592191196082], [-73.63898430693838, 45.45915162626819], [-73.6389507793257, 45.45913586997162], [-73.63899632180677, 45.45907772364647], [-73.6390415840839, 45.459094420634564], [-73.63912398107705, 45.45899090719363], [-73.6394173966678, 45.45910564781738], [-73.63933099293675, 45.45921338780151], [-73.63938128435578, 45.45923243643183], [-73.63932261103358, 45.4593053385378], [-73.63922068709101, 45.45926559514335], [-73.63917722111121, 45.45931508346138]]"
LOY,SH,SH Building,Solar House,7141 Sherbrooke W,45.459298,-73.642478,"[[-73.64255745236336, 45.45925610910041], [-73.64255376432597, 45.45932712983307], [-73.6423693624562, 45.459321720972476], [-73.64237271521746, 45.45925164090562]]"
LOY,SP,SP Building,Richard J. Renaud Science Complex,7141 Sherbrooke W,45.457881,-73.641565,"[[-73.64083076197447, 45.45698150789547], [-73.64093536812605, 45.45702101772243], [-73.64096084911169, 45.45699561855114], [-73.64101283910982, 45.457017106984964], [-73.64099473419897, 45.45704062472758], [-73.64129547688476, 45.4571582132936], [-73.64130318823568, 45.45714810068656], [-73.64138231340162, 45.45717796814861], [-73.64139135814725, 45.457167461781054], [-73.64143316415664, 45.457184093157494], [-73.6414164003503, 45.45720808118384], [-73.64200335335009, 45.457439297925404], [-73.64184844591702, 45.45763930760126], [-73.64192622997845, 45.45767270242441], [-73.64141451278216, 45.45832463847229], [-73.64128308454043, 45.45827478198157], [-73.64133647470348, 45.458208124668005], [-73.64126271395557, 45.45817990396], [-73.64120078449221, 45.45825612773927], [-73.64103850023358, 45.458194347307135], [-73.6409214888653, 45.458339448593314], [-73.64086080388634, 45.458316166564465], [-73.64111356299453, 45.45799822317311], [-73.6410636201382, 45.4579773269101], [-73.64113168119195, 45.45789266439714], [-73.64116889684203, 45.45790653965101], [-73.64147029091669, 45.45752432666299], [-73.64076394112611, 45.45724875063997], [-73.640766288059, 45.45724592852179], [-73.64065497638488, 45.4572014801418]]"
SGW,T,T Building,T Annex,2030 Mackay Street,45.49671,-73.57927,
LOY,TA,TA Building,Terrebonne Building,7079 Terrebonne,45.459992,-73.640897,"[[-73.640892, 45.460082], [-73.640967, 45.459977], [-73.640865, 45.45994], [-73.640774, 45.460041]]"
LOY,TB,TB Building,TB Annex,7075 Terrebonne,45.460051,-73.640842,"[[-73.57918725591533, 45.49671824116626], [-73.57927107494704, 45.496633636840265], [-73.57934617679946, 45.496667948610025], [-73.57925967555873, 45.49675678309487]]"
SGW,TD,TD Building,Toronto-Dominion Building,1410 Guy Street,45.495103,-73.578375,
SGW,TU,TU Building,TU Tunnel,1550 DeMaisonneuve,45.49648,-73.578918,
SGW,V,V Building,V Annex,2110 Mackay Street,45.497101,-73.579907,
SGW,VA,VA Building,Visual Arts Building,1395 Rene Levesque W,45.495543,-73.573795,
LOY,VE,VE Building,Vanier Extension,7141 Sherbrooke W,45.459026,-73.638606,"[[-73.57993717310565, 45.496945274392665], [-73.579977741517, 45.496964075260934], [-73.57987615285056, 45.49706700990343], [-73.57983323750632, 45.49704703401723]]"
LOY,VL,VL Building,Vanier Library Building,7141 Sherbrooke W,45.459026,-73.638606,"[[-73.6390181589777, 45.45885292987871], [-73.63897490835734, 45.458836232819095], [-73.63898127860375, 45.458827531532556], [-73.63846678055002, 45.45863022963669], [-73.63839804894401, 45.458716537234956], [-73.63836318022682, 45.4587045435439], [-73.63823565255335, 45.45886536382325], [-73.63820279549292, 45.45885219431478], [-73.63817530285051, 45.45888699943765], [-73.63812568198374, 45.458868185860375], [-73.63809885989359, 45.45890016893798], [-73.63804890375069, 45.458881825704516], [-73.63802576969793, 45.458910046061234], [-73.6380016298168, 45.45890134478609], [-73.63789356514977, 45.45903741041985], [-73.63791368171738, 45.459047052350044], [-73.63788719490336, 45.459079976001696], [-73.63786875471638, 45.45907315610401], [-73.63784562066363, 45.45910114119617], [-73.63813004574473, 45.459211842639064], [-73.63819521425744, 45.45913296257864], [-73.63867908052914, 45.45931034975063]]"
SGW,X,X Building,X Annex,2080 Mackay Street,45.49694,-73.579593,
SGW,Z,Z Building,Z Annex,2090 Mackay Street,45.496981,-73.579705,
